"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
99/24,"GRUPA AWW Spółka z ograniczoną odpowiedzialnością",62-800,Kalisz,"Niedźwiady 45","WOJ. WIELKOPOLSKIE",2025-04-25
100/24,"P.H.U. LECH-POL  Spółka z ograniczoną odpowiedzialnością",62-200,Gniezno,"ul. Leopolda Okulickiego 21","WOJ. WIELKOPOLSKIE",2025-03-31
101/24,"Zakład Przetwórstwa Owocowo-Warzywnego  ""ORZECH""  Spółka z ograniczoną odpowiedzialnością",36-100,Kolbuszowa,"ul. Rzeszowska 7 ","WOJ. PODKARPACKIE",2025-03-31
102/24,"""LEVER"" Spółka Jawna  Rabiński-Drąg",23-200,Kraśnik,"ul. Narutowicza 42 ","WOJ. LUBELSKIE",2025-03-31
103/24,"POLSKIE  LINIE  OCEANICZNE   Spółka Akcyjna",81-406,Gdynia,"Al. Marszałka Piłsudskiego 1","WOJ. POMORSKIE",2025-03-14
104/24,"Hurtownia  ""WAKO""   Witczak  Władysław",62-731,Przykona,"Psary, ul. Sportowa 22","WOJ. WIELKOPOLSKIE",2025-04-11
105/24,"VEIS DYSTRYBUCJA Społka z ograniczoną odpowiedzialnością",05-870,Błonie,"Pass 20H","WOJ. MAZOWIECKIE",2025-05-21
106/24,"""Tenczyńska Okovita"" Spółka Akcyjna",32-067,Tenczynek,"ul. Tenczyńska 59","WOJ. MAŁOPOLSKIE",2025-03-19
107/24,"CBMAX SPIRITS  Spółka z ograniczoną odpowiedzialnością",84-240,Reda,"ul. Wejherowska 67","WOJ. POMORSKIE",2025-05-18
108/24,"KRAVT & CO. Spółka z ograniczoną odpowiedzialnością",02-715,Warszawa,"ul. Puławska 145","WOJ. MAZOWIECKIE",2025-03-24
109/24,"Kraft Alkohole Spółka z ograniczoną odpowiedzialnością",00-020,Warszawa,"ul. Chmielna 2/31","WOJ. MAZOWIECKIE",2025-03-31
110/24,"Good Vibes Distribution Spółka z ograniczoną odpowiedzialnością",02-650,Warszawa,"ul. Bukietowa 5/U1","WOJ. MAZOWIECKIE",2025-04-09
111/24,"GROCHOWICA POLSKA Spółka z ograniczoną odpowiedzialnością",67-410,"Stare Strącze","Stare Strącze 43","WOJ. LUBUSKIE",2025-03-31
112/24,"Katarzyna Turaj Przedsiębiorstwo Handlowo-Usługowe  ""KAMA""",45-340,Opole,"ul. Jakuba Kani 3 c/lok. 13","WOJ. OPOLSKIE",2025-04-15
113/24,"PGS   Spółka z ograniczoną odpowiedzialnością",01-205,Warszawa,"ul. Młynarska 7","WOJ. MAZOWIECKIE",2025-05-27
114/24,"Przedsiębiorstwo Handlowo-Usługowe   ""STANWOJ-HURT"" Spółka Jawna  Dobosz",07-104,Stoczek,"ul. Kolejowa 27 A ","WOJ. MAZOWIECKIE",2025-05-31
115/24,"VININOVA Spółka z ograniczoną odpowiedzialnością",61-581,Poznań,"ul. ks. Jakuba Wujka 9","WOJ. WIELKOPOLSKIE",2025-04-06
116/24,"Jan Wołoch Firma Handlowo-Produkcyjna ""Wołoch-Artykuły Spożywcze""",32-200,Miechów,"ul. Krótka 5","WOJ. MAŁOPOLSKIE",2025-04-19
117/24,"""ROAN SHIP CHANDLER""   Spółka z ograniczoną odpowiedzialnością",81-061,Gdynia,"ul. Hutnicza 61","WOJ. POMORSKIE",2025-05-04
118/24,"CIELEŚNICA Spółka Akcyjna",21-504,"Rokitno, Cieleśnica","Cieleśnica-Pałac 22","WOJ. LUBELSKIE",2025-04-20
119/24,"""Winnica Kamil Barczentewicz"" Wojciech Barczentewicz",20-710,Lublin,"ul. Julii 21","WOJ. LUBELSKIE",2025-04-07
